구,법정동,아파트명,r_c,n,last_ym,r_dong,입지가치지수,avg_price_per_sqm,median_amount,lat,lon,subway_dist_km,nearest_station,commute_minutes,pred_idx,final_resid,deviation_pct,zone,extreme_deviation,blue_candidate_lowconf,confidence
서초구,우면동,동고,0.3340367734468297,13,202601,0.34183951832966725,0.33620420258095124,1620.6888382670475,130000.0,37.47137600752853,127.02357019152484,1.322288588202828,양재시민의숲 신분당선,23,0.014313043437699569,0.32189115914325167,32.2,Red,False,False,높음
서초구,우면동,호반써밋서초파크뷰(토지임대부아파트),0.10349139121887084,13,202603,0.34183951832966725,0.16969920430520316,1701.48742241822,130000.0,37.4647545,127.0188666,1.8306763231212175,양재시민의숲 신분당선,23,-0.06785225502873304,0.2375514593339362,23.8,Gray,False,False,높음
서초구,잠원동,동아,1.1736932768924433,13,202602,0.9098597589835556,1.100406188584419,4117.881910063186,345000.0,37.5087309956466,127.01015663069234,0.14110592406038772,반포,14,0.3751674280853582,0.7252387604990608,72.5,Red,True,False,높음
강서구,방화동,한숲마을대림,-0.42645392433739454,13,202602,-0.22674360477215127,-0.37097883556927136,827.4114705471372,62800.0,37.57725015596032,126.81751597345445,0.41575361563762514,방화,47,-0.29237976530460963,-0.07859907026466173,-7.9,Gray,False,False,높음
성북구,보문동6가,아남,-0.4238766818455265,13,202603,-0.05119819033628792,-0.32035487864851575,780.823957587777,64500.0,37.581218260502524,127.01727620562197,0.5374676753581604,보문,32,-0.028797108621123613,-0.29155777002739214,-29.2,Blue,False,False,높음
은평구,진관동,상림마을8단지롯데캐슬(821~830동)BL1-12,-0.18980870636661934,13,202602,-0.2781581932205469,-0.21435023049271035,1073.3032963518056,93500.0,37.6421169,126.9354305,1.590527977265602,구파발,61,-0.7466164457808373,0.532266215288127,53.2,Red,False,False,높음
마포구,창전동,서강오벨리스크스위트,0.09940834546423005,13,202601,0.20833453339164856,0.12966561988851297,1451.1826277101754,125000.0,37.54659347448434,126.93182338412004,0.10094949752993933,광흥창,35,-0.01489812264244772,0.1445637425309607,14.5,Gray,False,False,높음
노원구,중계동,중앙하이츠,-0.39260427598742625,13,202602,-0.2126795577727421,-0.3426251875944584,828.2025310452126,66500.0,37.65957598006379,127.0767524427488,0.3196329063619641,상계,36,-0.06912519472173684,-0.2734999928727216,-27.3,Gray,False,False,높음
성북구,동소문동7가,브라운스톤동선,-0.05268180176122442,13,202602,-0.11552500835544578,-0.07013824803739703,1295.629037321129,92000.0,37.5963283605743,127.01382036171545,0.47374355371392135,성신여대입구,37,-0.11291605865634458,0.042777810618947545,4.3,Gray,False,False,높음
영등포구,문래동5가,문래현대5차,-0.21107314988750417,13,202603,-0.16365305746802494,-0.1979009019932044,1017.8540647935623,86500.0,37.51750182838072,126.88330952646169,0.9391485234223665,양평,38,-0.20701811058889374,0.009117208595689347,0.9,Gray,False,False,높음
